ACQUISITION DATE,STARTED AT,CHURNED AT,USER ID,PREMIUM,PRODUCT GROUP
2025-07-01 15:28:00,2025-07-02 00:00:00,,1-088f,49.04,dog
2025-11-29 09:19:49,2025-11-30 00:00:00,,5-169e,42.78,contents
2024-10-03 08:58:17,2024-10-04 00:00:00,2025-01-21 00:00:00,7-86d6,69.92,dental
2025-08-02 18:24:08,2025-08-03 00:00:00,,0-3594,50.83,dog
2024-06-19 21:25:10,2024-06-20 00:00:00,,1-18c6,22.13,liability
2024-01-09 09:52:50,2024-01-10 00:00:00,,9-8903,0.19,liability
2025-09-18 12:01:22,2025-09-19 00:00:00,,d-604b,32.56,legal
2024-09-16 11:30:12,2024-09-17 00:00:00,2025-06-16 00:00:00,6-3842,15.13,liability
2025-11-30 21:12:10,2025-12-01 00:00:00,,9-918f,83.10,car
2025-02-14 12:14:58,2025-02-15 00:00:00,2025-03-17 00:00:00,9-ddea,11.34,legal